City,Ahemdabad,Agra,Dehradun,Delhi,Bhopal,Jaipur,Jammu,Chandigarh,Luckhnow,Mumbai,Shimla,Indore,Pune,varanasi
Ahemdabad,0,914.4,1180.8,945.9,586.6,676.8,1469.2,1179.6,1250,524,1278.2,388.9,657.1,1292
Agra,914.4,0,433.5,231.4,538.7,240.4,826.9,481.4,335.4,1212.7,580,629.5,1221,642.6
Dehradun,1180.8,433.5,0,258.1,985.7,559.4,508.2,171.9,756.8,1693.9,226.6,1076.5,1668,1064
Delhi,945.4,231.4,258.1,0,783,281,589,243.6,554.1,1415.5,342.2,836.9,1426.5,861.3
Bhopal,586.6,538.7,985.7,783,0,595.9,1359.1,1013.7,665.1,775.8,1112.3,192.6,784.1,725.5
Jaipur,676.8,240.4,559.4,281,595.9,0,852.4,507,573.1,1147.6,605.6,571.1,1161,880.3
Jammu,1469.2,826.9,508.2,589,1359.1,852.4,0,338.7,1145.6,1933.4,410.7,1415.1,2005,1452.8
Chandigarh,1179.6,481.4,171.9,243.6,1013.7,507,338.7,0,803.1,1651.2,112.2,1072.6,1662.5,1110.3
Luckhnow,1250,335.4,756.8,554.1,665.1,573.1,1145.6,803.1,0,1375.6,901.9,792.4,1383.9,320.2
Mumbai,524,1212.7,1693.9,1414.5,775.8,1147.6,1933.4,1651.2,1375.6,0,1754.3,584.3,148.2,1481.5
Shimla,1278.2,580,226.6,342.2,1112.3,605.6,410.7,112.2,901.9,1749.7,0,1171.1,1761.1,1208.9
Indore,388.9,629.5,1076.5,836.9,192.6,571.1,1415.1,1072.6,792.4,585.1,1171.1,0,593.4,899.5
Pune,657.1,1221,1668,1426.5,784.1,1161,2005,1662.5,1383.9,148.2,1761.1,593.4,0,1439.9
varanasi,1292,642.6,1064,861.3,725.5,880.3,1452.8,1110.3,320.2,1481.5,1208.9,899.5,1439.9,0
